category,name,link,price,updated_date
japanese-liquor,Hakutsuru Dai Ginjo Sake 720ML,https://www.cheers.com.np//liquor/product/hakutsuru-dai-ginjo-sake-720ml,"Rs. 4,240",2024-05-11 11:04:22.156745
japanese-liquor,Hakutsuru Superior Junmai Ginjo Sake 720ML,https://www.cheers.com.np//liquor/product/hakutsuru-superior-junmai-ginjo-sake-720ml,"Rs. 3,755",2024-05-11 11:04:22.156745
japanese-liquor,Hakutsuru Maru Sake 2L,https://www.cheers.com.np//liquor/product/hakutsuru-maru-sake-2l,"Rs. 4,985",2024-05-11 11:04:22.156745
japanese-liquor,Choya Shiso Umeshu 750ML,https://www.cheers.com.np//liquor/product/choya-shiso-umeshu-750ml,"Rs. 4,800",2024-05-11 11:04:22.156745
japanese-liquor,Takara Yokaichi Mugi Shochu 720ML,https://www.cheers.com.np//liquor/product/takara-yokaichi-mugi-shochu-720ml,"Rs. 5,490",2024-05-11 11:04:22.169766
japanese-liquor,Hakodate Kerner Medium Sweet White 720ML,https://www.cheers.com.np//liquor/product/hakodate-kerner-medium-sweet-white-720ml,"Rs. 4,700",2024-05-11 11:04:22.169766
japanese-liquor,Suzuki Shuzo Kinpyo Gold Leaf Sake 720ML,https://www.cheers.com.np//liquor/product/suzuki-shuzo-kinpyo-gold-leaf-sake-720ml,"Rs. 12,995",2024-05-11 11:04:22.176149
japanese-liquor,Choya Classic Umeshu 375ML,https://www.cheers.com.np//liquor/product/choya-classic-umeshu-375ml,"Rs. 2,450",2024-05-11 11:04:22.180346
japanese-liquor,Choya Classic Umeshu 50ML,https://www.cheers.com.np//liquor/product/choya-classic-umeshu-50ml,Rs. 360,2024-05-11 11:04:22.186367
japanese-liquor,Choya Classic Umeshu 750ML,https://www.cheers.com.np//liquor/product/choya-classic-umeshu-750ml,"Rs. 4,600",2024-05-11 11:04:22.191040
japanese-liquor,Dewazakura Ginjo Sake 180ML,https://www.cheers.com.np//liquor/product/dewazakura-ginjo-sake-180ml,"Rs. 1,235",2024-05-11 11:04:22.192705
japanese-liquor,Hakodate Bacchus Medium Dry White 720ML,https://www.cheers.com.np//liquor/product/hakodate-bacchus-medium-dry-white-720ml,"Rs. 3,885",2024-05-11 11:04:22.197390
japanese-liquor,Hakodate Dornfelder Full Bodied Red 720ML,https://www.cheers.com.np//liquor/product/hakodate-dornfelder-full-bodied-red-720ml,"Rs. 3,345",2024-05-11 11:04:22.214420
japanese-liquor,Hakodate Fragrant Kerner Sparkling 720ML,https://www.cheers.com.np//liquor/product/hakodate-fragrant-kerner-sparkling-720ml,"Rs. 4,900",2024-05-11 11:04:22.222637
japanese-liquor,Hakodate Myura Dry White 720ML,https://www.cheers.com.np//liquor/product/hakodate-myura-dry-white-720ml,"Rs. 4,180",2024-05-11 11:04:22.226308
japanese-liquor,Hakodate Niagara Casual Sweet White 720ML,https://www.cheers.com.np//liquor/product/hakodate-niagara-casual-sweet-white-720ml,"Rs. 2,645",2024-05-11 11:04:22.229852
japanese-liquor,Hakutsuru Awa Yuki Sparkling Sake 300ML,https://www.cheers.com.np//liquor/product/hakutsuru-awa-yuki-sparkling-sake-300ml,"Rs. 1,180",2024-05-11 11:04:22.231551
japanese-liquor,Hakutsuru Draft Sake 300ML,https://www.cheers.com.np//liquor/product/hakutsuru-draft-sake-300ml,"Rs. 1,475",2024-05-11 11:04:22.233067
japanese-liquor,Hakutsuru Excellent Junmai Sake 720ML,https://www.cheers.com.np//liquor/product/hakutsuru-excellent-junmai-sake-720ml,"Rs. 3,180",2024-05-11 11:04:22.241402
japanese-liquor,Hakutsuru Josen Sake 1.8L,https://www.cheers.com.np//liquor/product/hakutsuru-josen-sake-1-8l,"Rs. 6,785",2024-05-11 11:04:22.245013
japanese-liquor,Hakutsuru Sayuri Nigori Sake 300ML,https://www.cheers.com.np//liquor/product/hakutsuru-sayuri-nigori-sake-300ml,"Rs. 1,970",2024-05-11 11:04:22.248541
japanese-liquor,Ozeki Hana Awaka Sparkling Sake 250ML,https://www.cheers.com.np//liquor/product/ozeki-hana-awaka-sparkling-sake-250ml,"Rs. 1,235",2024-05-11 11:04:22.256252
japanese-liquor,Takara Yokaichi Imo Shochu 1.8L,https://www.cheers.com.np//liquor/product/takara-yokaichi-imo-shochu-1-8l,"Rs. 12,735",2024-05-11 11:04:22.258640
japanese-liquor,Takara Yokaichi Imo Shochu 720ML,https://www.cheers.com.np//liquor/product/takara-yokaichi-imo-shochu-720ml,"Rs. 5,460",2024-05-11 11:04:22.264965
japanese-liquor,Takara Yokaichi Mugi Shochu 1.8L,https://www.cheers.com.np//liquor/product/takara-yokaichi-mugi-shochu-1-8l,"Rs. 12,735",2024-05-11 11:04:22.272119
glass,Luminarc Whisky Glass Brighton 270ML - N1285,https://www.cheers.com.np//liquor/product/luminarc-whisky-glass-brighton-270ml-n1285,Rs. 190,2024-05-11 11:04:37.365423
glass,Luminarc Whisky Glass Imperator 300ML - N1287,https://www.cheers.com.np//liquor/product/luminarc-whisky-glass-imperator-300ml-n1287,Rs. 190,2024-05-11 11:04:37.378968
glass,Luminarc Shot Glass 50ML - 16166,https://www.cheers.com.np//liquor/product/luminarc-shot-glass-50ml-16166,Rs. 70,2024-05-11 11:04:37.383284
glass,Luminarc Beer Mug Haworth 600ML - C5968,https://www.cheers.com.np//liquor/product/luminarc-beer-mug-haworth-600ml-c5968,Rs. 170,2024-05-11 11:04:37.386555
glass,Luminarc Wine Glass Elegance 190ML - 12055,https://www.cheers.com.np//liquor/product/luminarc-wine-glass-elegance-190ml-12055,Rs. 225,2024-05-11 11:04:37.390163
glass,Arcoroc Beer Glass Brasserie 600ML - L0484,https://www.cheers.com.np//liquor/product/arcoroc-beer-glass-brasserie-600ml-l0484,Rs. 340,2024-05-11 11:04:37.400608
glass,Arcoroc Shot Glass 30ML - P2180,https://www.cheers.com.np//liquor/product/arcoroc-shot-glass-30ml-p2180,Rs. 60,2024-05-11 11:04:37.404152
glass,Arcoroc Wine Glass Regal 330ML - D0693,https://www.cheers.com.np//liquor/product/arcoroc-wine-glass-regal-330ml-d0693,Rs. 260,2024-05-11 11:04:37.406960
glass,Arcoroc Wine Glass Senso 350ML - G3805,https://www.cheers.com.np//liquor/product/arcoroc-wine-glass-senso-350ml-g3805,Rs. 260,2024-05-11 11:04:37.410864
glass,Eclat Whisky Glass Longchamp 320ML - L7555,https://www.cheers.com.np//liquor/product/eclat-whisky-glass-longchamp-320ml-l7555,Rs. 600,2024-05-11 11:04:37.413071
glass,Luminarc Whisky Glass Islande 300ML - N1314,https://www.cheers.com.np//liquor/product/luminarc-whisky-glass-islande-300ml-n1314,Rs. 140,2024-05-11 11:04:37.416507
glass,Luminarc Whisky Glass Octime 300ML - D6238,https://www.cheers.com.np//liquor/product/luminarc-whisky-glass-octime-300ml-d6238,Rs. 150,2024-05-11 11:04:37.418992
glass,Luminarc Whisky Glass Salto 320ML - G2562,https://www.cheers.com.np//liquor/product/luminarc-whisky-glass-salto-320ml-g2562,Rs. 190,2024-05-11 11:04:37.422085
